2023-01-16 15:36:17,asc seminar ,1,0,1
2023-01-16 16:01:31,asc seminar ,1,0,1
2023-01-16 17:07:57,asc seminar ,1,0,1
2023-01-16 17:33:06,asc ,1,0,1
2023-01-16 18:28:58,asc ,1,0,1
2023-01-16 19:04:51,asc ,1,0,1
2023-01-16 22:18:40,asc seminar,1,0,1
2023-01-16 22:47:45,asc seminar,1,0,1
2023-01-17 20:20:32,asm ,1,0,1
2023-01-17 21:01:14,asc,1,0,1
2023-01-18 22:14:26,ASC seminar,1,0,1
2023-01-18 22:46:51,asc seminar,1,0,1
2023-01-19 15:12:11,asc curs ,1,0,1
2023-01-19 15:57:26,asc curs,1,0,1
2023-01-19 17:00:55,asc,1,0,1
2023-01-19 17:44:29,asc,1,0,1
2023-01-19 18:58:15,asc ,1,0,1
2023-01-19 19:30:05,asc ,1,0,1
2023-01-19 20:09:25,asc ,1,0,1
2023-01-19 20:47:33,asc ,1,0,1
2023-01-19 21:03:52,asc ,1,0,1
2023-01-19 22:33:53,prolog,1,0,1
2023-01-19 23:18:50,prolog,1,0,1
2023-01-20 01:07:49,prolog,1,0,1
2023-01-20 01:08:01,prolog,1,0,1
2023-01-20 13:17:19,asc,1,0,1
2023-01-20 14:09:41,asc,1 ,0,1
2023-01-20 14:49:40,asc,1,0,1
2023-01-20 15:21:21,asc,1,0,1
2023-01-20 16:20:21,asc,1,0,1
2023-01-20 17:22:15,asc,1,0,1
2023-01-20 18:27:15,asc,1,0,1
2023-01-22 12:11:38,prolog,1,0,1
2023-01-22 12:54:14,prolog,1,0,1
2023-01-22 13:35:33,prolog,1,0,1
2023-01-22 14:07:34,prolog,1,0,1
2023-01-22 15:41:48,prolog,1,0,1
2023-01-22 16:06:59,prolog,1,0,1
2023-01-22 16:32:17,logica,1,0,1
2023-01-22 16:58:04,logica,1,0,1
2023-01-22 16:58:12,logica,1,0,1
2023-01-22 18:35:48,logica,1,0,1
2023-01-22 19:26:14,logica,1,0,1
2023-01-22 19:51:28,logica,1,0,1
2023-01-22 20:27:34,logica,1,0,1
2023-01-22 21:33:55,logica,1,0,1
2023-01-23 12:12:54,logica,1,0,1
2023-01-23 13:26:32,logica,1,0,1
2023-01-23 13:26:42,logica,1,0,1
2023-01-23 13:52:04,logica,1,0,1
2023-01-23 14:34:09,logica,1,0,1
2023-01-23 15:30:21,logica,1,0,1
2023-01-23 18:02:13,prolog,1,0,1
2023-01-23 18:34:51,prolog,1,0,1
2023-01-23 19:27:24,logica,1,0,1
2023-01-24 10:14:39,logica,1,0,1
2023-01-24 11:39:02,logica,1,0,1
2023-01-24 12:08:15,logica,1,0,1
2023-01-24 12:54:56,logica,1,0,1
2023-01-24 13:26:28,prolog,1,0,1
2023-01-24 13:51:27,prolog,1,0,1
2023-01-24 18:36:45,prolog,1,0,1
2023-01-25 00:04:14,logica,5,0,5
2023-01-26 11:40:40,PA,1,0,1
2023-01-26 12:08:44,PA,1,0,1
2023-01-26 12:58:22,PA,1,0,1
2023-01-26 13:23:59,PA,1,0,1
2023-01-26 13:49:21,PA,1,0,1
2023-01-26 16:23:32,PA,1,0,1
2023-01-26 16:51:25,PA,1,0,1
2023-01-26 17:17:55,PA,1,0,1
2023-01-26 19:38:42,PA,1,0,1
2023-01-26 20:54:39,analzia,1,0,1
2023-01-26 20:54:45,analzia,1,0,1
2023-01-26 21:41:14,analzia,1,0,1
2023-01-26 22:24:12,analzia,1,0,1
2023-01-27 11:32:09,PA,1,0,1
2023-01-27 11:57:21,PA,1,0,1
2023-01-27 12:28:59,PA,1,0,1
2023-01-27 12:54:14,PA,1,0,1
2023-01-27 13:40:26,PA,1,0,1
2023-01-27 14:03:05,PA,1,0,1
2023-01-27 14:48:49,PA,1,0,1
2023-01-27 15:14:01,PA,1,0,1
2023-01-27 19:06:29,CDI,1,0,1
2023-01-27 19:31:46,CDI,1,0,1
2023-01-27 19:56:58,CDI,1,0,1
2023-01-27 20:22:17,CDI,1,0,1
2023-01-27 20:43:43,CDI,1,0,1
2023-01-28 12:25:37,PA,1,0,1
2023-01-28 13:30:14,PA,1,0,1
2023-01-28 13:55:26,PA,1,0,1
2023-01-28 14:20:41,PA,1,0,1
2023-01-28 14:45:51,PA,1,0,1
2023-01-28 16:12:58,PA,1,0,1
2023-01-28 16:38:08,PA,1,0,1
2023-01-28 17:08:12,PA,1,0,1
2023-01-28 17:33:19,PA,1,0,1
2023-01-28 19:10:18,PA,1,0,1
2023-01-29 11:21:13,pa,1,0,1
2023-01-29 11:49:08,pa,1,0,1
2023-01-29 12:14:22,pa,1,0,1
2023-01-29 13:09:33,pa,1,0,1
2023-01-29 13:09:33,pa,1,0,1
2023-01-29 20:53:49,pa,1,0,1
2023-01-29 21:25:14,pa,1,0,1
2023-01-31 13:04:53,CDI,1,0,1
2023-01-31 13:40:14,CDI,1,0,1
2023-01-31 13:40:15,CDI,1,0,1
2023-01-31 14:11:01,CDI,1,0,1
2023-01-31 14:45:22,CDI,1,0,1
2023-01-31 15:11:52,CDI,1,0,1
2023-01-31 15:37:14,CDI,1,0,1
2023-01-31 16:07:52,CDI,1,0,1
2023-01-31 19:27:08,CDI,1,0,1
2023-01-31 19:27:08,CDI,1,0,1
2023-01-31 20:23:50,CDI,1,0,1
2023-01-31 21:06:23,CDI,1,0,1
2023-01-31 21:29:59,CDI,1,0,1
2023-02-01 12:19:53,CDI,1,0,1
2023-02-01 13:13:45,CDI,1,0,1
2023-02-01 13:45:21,CDI,1,0,1
2023-02-01 14:10:39,CDI,1,0,1
2023-02-01 14:36:34,CDI,1,0,1
2023-02-01 15:01:43,CDI,1,0,1
2023-02-01 16:54:10,CDI,1,0,1
2023-02-01 16:54:10,CDI,1,0,1
2023-02-01 16:54:22,CDI,1,0,1
2023-02-01 17:19:36,CDI,1,0,1
2023-02-01 17:44:53,CDI,1,0,1
2023-02-01 18:18:22,CDI,1,0,1
2023-02-01 18:18:23,CDI,1,0,1
2023-02-01 21:57:11,CDI,2,0,2
2023-02-01 22:23:08,CDI,1,0,1
2023-02-04 14:54:41,algebra,2,0,2
2023-02-04 16:56:40,algebra,2,0,2
2023-02-04 17:46:58,algebra,2,0,2
2023-02-04 20:16:50,algebra,2,0,2
2023-02-04 21:57:03,algebra,2,0,2
2023-02-05 00:14:11,algebra,2,0,2
2023-02-05 00:14:12,algebra,2,0,2
2023-02-05 00:14:13,algebra,2,0,2
